smiles,IC50(uM),leaked
CC(C[S+]([O-])c1ccc(/N=C/c2c(O)ccc3ccccc23)cc1)c1ccccc1,40.3,False
CC(C[S+]([O-])c1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1,40.3,False
CC(C[S+]([O-])c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,40.3,False
CC(NC(=O)c1ccc(/N=C/c2c(O)ccc3ccccc23)cc1)c1ccccc1,30.55,False
CC(NC(=O)c1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1,58.8,False
CC(NC(=O)c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,82.5,False
CC(NS(=O)(=O)c1ccc(/N=C/c2c(O)ccc3ccccc23)cc1)c1ccccc1,42.2,False
CC(NS(=O)(=O)c1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1,40.3,False
CC(Oc1ccccc1)c1nn2c(-c3ccco3)nnc2s1,67.9,False
CC1(C)CC(=O)C2=C(C1)N(NC(=O)c1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccc(OCc2ccccc2)cc1,45.97,False
CC1(C)CC(=O)C2=C(C1)N(Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C1=C(C(=O)CC(C)(C)C1)C2c1ccc(OCc2ccccc2)cc1,43.29,False
CC1(C)CC(=O)C2=C(C1)N(Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C1=C(C(=O)CC(C)(C)C1)C2c1ccccc1OCc1ccccc1,10.13,False
CC1(C)CC(=O)C2=C(C1)N(Nc1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccc(OCc2ccccc2)cc1,43.14,False
CC1(C)CC(=O)C2=C(C1)N(Nc1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1cccc(OCc2ccccc2)c1,40.06,False
CC1(C)CC(=O)C2=C(C1)N(Nc1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccccc1OCc1ccccc1,11.08,False
CC1(C)CC(NC(=S)Nc2ccc([N+](=O)[O-])cc2)c2cc(Cl)ccc2O1,200.0,False
CC1(C)Cc2c(-c3ccc(Cl)cc3)n[nH]c2C(C(N)=O)C1,0.8,False
CC1(c2ccccc2)OC(=O)C(=Cc2ccc(O)cc2)C(=O)O1,7.06,False
CC1=CCC(C(=O)/N=C2\CC=C(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c32)=C/C1=N/C(=O)C1=CC=C/C(=N\C(=O)/N=C2\C=CC=C(C(=O)/N=C3/CC(C(=O)/N=C4\CC=C(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c54)=CC=C3C)C2)C1,0.297,False
CC1=CCC(C(=O)/N=C2\CC=C(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c32)=C/C1=N/C(=O)C1=CC=C/C(=N\C(=O)/N=C2\C=CC=C(C(=O)/N=C3/CC(C(=O)/N=C4\CC=C(S(=O)(=O)[O-])c5cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c54)=CC=C3C)C2)C1,0.297,False
CC1=NOC(=O)/C1=C/c1c(COCc2ccc(C(F)(F)F)cc2)n(C)c2ccc(F)cc12,35.25,False
CCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(C)C,0.51,False
CCC(Oc1ccccc1)c1nn2c(-c3ccco3)nnc2s1,100.0,False
CCC(Sc1nnc2c(n1)[nH]c1ccccc12)C(=O)N1c2ccccc2Sc2ccccc21,0.1,False
CCC(c1ccccc1)c1nn2c(-c3ccco3)nnc2s1,96.2,False
CCCC(=S)NCCCCC(NC(=O)Oc1ccccc1)C(=O)Nc1ccccc1,2.4,False
CCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(C)C,0.54,False
CCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,12.0,False
CCCCCCC(=S)NCCCCC(NC(=O)Oc1ccccc1)C(=O)Nc1ccccc1,0.31,False
CCCCCCCCCCCCCC(=S)NCCCCC(NC(=O)Oc1ccccc1)C(=O)Nc1ccccc1,205.0,False
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)CCOCCOCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O)C(=O)Nc1ccccc1,37.0,False
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)CCOCCOCCOCCOCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O)C(=O)Nc1ccccc1,41.0,False
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,98.0,False
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)[C@@H](C)CC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,0.178,False
