smiles,Ki,leaked
CC(=O)Nc1cc(N2CCCCC2)nc(-n2nc(C)cc2C)n1,78.0,False
CC(=O)Nc1cc(N2CCC[C@@H]2COc2ccccn2)nc(-n2nc(C)cc2C)n1,40.0,False
CC(=O)Nc1cc(N2CCC[C@H]2CO)nc(-n2nc(C)cc2C)n1,25.8,False
CC(=O)Nc1cc(N2CCC[C@H]2COc2ccccn2)nc(-n2nc(C)cc2C)n1,439.0,False
CC(=O)Nc1cc(N2CCN(C)CC2)nc(-n2nc(C)cc2C)n1,1867.0,False
CC(=O)Nc1cc(N2CCOCC2)nc(-n2nc(C)cc2C)n1,313.0,False
CC(=O)Nc1cc(N2CCc3ccccc3C2)nc(-n2nc(C)cc2C)n1,4.2,False
CC(=O)Nc1ccc(-c2c(C#N)c(N)nc(SCC(N)=O)c2C#N)cc1,572.0,False
CC(=O)Nc1ccc(-c2cc(O)c3ccc(C)nc3n2)cc1,1950.0,False
CC(=O)Nc1ccc(-c2ccncc2)c(-c2cccc(F)c2)n1,286.0,False
CC(=O)Nc1ccc(-c2ccncc2)c(-c2ccco2)n1,209.0,False
CC(=O)Nc1ccc(/C=N/Nc2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)cc1,1329.0,False
CC(=O)Nc1ccc(CCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,4.8,False
CC(=O)Nc1ccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)cc1,116.0,False
CC(=O)Nc1ccc2c(O)c(C(=O)NCc3ccccc3)cnc2n1,6780.0,False
CC(=O)Nc1cnc(-c2ccncc2)c(-c2ccco2)n1,727.0,False
CC(=O)Nc1nc(-c2ccccc2)c(-c2nc(C)no2)s1,110.0,False
CC(=O)Nc1nc(-c2ccccc2)c(-c2noc(C)n2)s1,190.0,False
CC(=O)Nc1nc(-c2ccccc2)nc2nc(-c3ccccc3)cn12,3200.0,False
CC(=O)Nc1nc(-c2ccccc2)nc2nc(C)cn12,10000.0,False
CC(=O)Nc1nc2c(N)cccc2n2c(=O)n(-c3ccccc3)nc12,3308.5,False
CC(=O)Nc1nc2ccccc2c2cn(-c3ccc(C)cc3)nc12,1500.0,False
CC(=O)Nc1nc2ccccc2c2cn(-c3ccccc3)nc12,2400.0,False
CC(=O)Nc1nc2ccccc2n2nc(-c3ccco3)nc12,199.53,False
CC(=O)Nc1nc2sc(C)c(C)c2c(=O)[nH]1,30000.0,False
CC(=O)Nc1nc2sc3c(c2c(=O)[nH]1)CCC3,30000.0,False
CC(=O)OC1CCC(N2CCCCn3c2nc2c3c(=O)n(C)c(=O)n2C)CC1,10000.0,False
CC(=O)O[C@H]1CC[C@H](N2CCCn3c2nc2c3c(=O)n(C)c(=O)n2C)CC1,21900.0,False
CC(=O)Oc1cc(C)c2c(=O)c(-c3nc(C)cs3)coc2c1,32.75,False
CC(=O)Oc1ccc(-c2cc3ccc(OC(C)=O)c(OC(C)=O)c3oc2=O)cc1,100000.0,False
CC(=O)Oc1ccc(-c2cc3ccc(OC(C)=O)c(OC(C)=O)c3oc2=O)cc1OC(C)=O,100000.0,False
CC(=O)Oc1ccc(-c2cc3cccc(OC(C)=O)c3oc2=O)cc1OC(C)=O,64400.0,False
CC(=O)Oc1ccc(-n2nc3c(=O)[nH]c4ccccc4n3c2=O)cc1,9700.0,False
CC(=O)Oc1ccc2cc(-c3cc(Br)cs3)c(=O)oc2c1OC(C)=O,100000.0,False
CC(=O)Oc1ccc2cc(-c3ccccc3)c(=O)oc2c1OC(C)=O,21100.0,False
CC(=O)Oc1ccc2cc(-c3cccs3)c(=O)oc2c1OC(C)=O,100000.0,False
CC(=O)Oc1ccc2cc(-c3ccsc3)c(=O)oc2c1OC(C)=O,20600.0,False
CC(=O)Oc1cccc(-c2nc(C(N)=O)c(N)o2)c1,36000.0,False
CC(=O)Oc1cccc2cc(-c3cc(Br)cs3)c(=O)oc12,100000.0,False
CC(=O)Oc1cccc2cc(-c3ccccc3)c(=O)oc12,35700.0,False
CC(=O)Oc1cccc2cc(-c3cccs3)c(=O)oc12,18800.0,False
CC(=O)Oc1cccc2cc(-c3ccsc3)c(=O)oc12,14700.0,False
CC(=O)c1ccc(/C=C/c2cc3c(c(=O)n(C)c(=O)n3C)n2C)cc1,93.9,False
CC(=O)c1ccc(NC(=O)c2sc3nc4c(cc3c2N)CCCC4)cc1,100000.0,False
CC(=O)c1cccc(/C=C/c2cc3c(c(=O)n(C)c(=O)n3C)n2C)c1,10000.0,False
CC(=O)c1snc(Nc2cc(Cl)ccc2F)c1N,41000.0,False
CC(C)(C)C(=O)N1CCN(c2nc(N)n3nc(-c4ccco4)nc3n2)CC1,58.4,False
CC(C)(C)C(=O)c1cc2c([nH]c1=O)CC(c1ccccc1)CC2=O,16000.0,False
CC(C)(C)CC(=O)N1CCN(c2nc(N)n3nc(-c4ccco4)nc3n2)CC1,11.1,False
CC(C)(C)CC(=O)Nc1c(F)cc(C(=O)Nc2nccs2)cc1F,5.9,True
CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2ncc(Cl)s2)cc1,28.0,False
CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)c(Cl)c1,180.0,False
CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,36.0,False
